"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ACTR2",1,3,1,3,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"ACTR3",11,1,7,1,0.00322037782842351,11.2057482263499,3.48616707808684,2.49209317203918
"ACTR5",2,0,1,0,0.24819457420672,Inf,Inf,0.605207716865645
"ACTR6",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ACVR2A",3,1,3,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"ADA",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ADA2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADAM10",8,5,5,3,0.420549748490721,1.61655414207923,0.69292182741522,0.376182622417667
"ADAM15",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ADAM17",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADAM8",5,5,3,4,1,1.00663607349377,0.00954220383962694,0
"ADAMTS15",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADAMTS18",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADAMTS9",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADAMTSL1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADAR",2,5,2,5,0.452061316994495,0.40126146282924,-1.31738548861956,0.34480265406855
"ADARB1",2,0,1,0,0.24819457420672,Inf,Inf,0.605207716865645
"ADAT1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ADAT2",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ADCY4",3,3,2,1,1,1.00661849212498,0.0095170062774283,0
"ADCY6",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADCY7",2,2,2,2,1,1.00660973632977,0.00950445733523746,0
"ADD1",4,1,4,1,0.216600222965284,4.03892092910595,2.01396990234123,0.664341100653714
"ADD2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADD3",8,2,4,2,0.0637982134461682,4.05510061148045,2.01973770972817,1.19519148274176
"ADGRE5",8,8,3,5,1,1.00666262138871,0.00958025136478142,0
"ADGRF5",4,3,2,1,0.725126469251364,1.34367907158262,0.426188601565915,0.139586241555909
"ADGRG1",2,3,1,1,1,0.670371393191425,-0.576967508769896,0
"ADGRL4",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADH1B",1,2,1,1,1,0.502863467225993,-0.991761348721336,0
"ADH5",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ADI1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADIPOR2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADNP",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ADPGK",3,1,3,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"ADPRHL2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADRB2",2,0,1,0,0.24819457420672,Inf,Inf,0.605207716865645
"ADRM1",1,4,1,3,0.374190362517327,0.250875782283238,-1.99495488466713,0.426907402189948
"ADSL",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AEBP1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AFAP1L1",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"AFF1",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"AFF4",1,5,1,3,0.217839453206134,0.200447849165676,-2.31870115764144,0.661863461779443
"AFG1L",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AFTPH",3,3,3,2,1,1.00661849212498,0.0095170062774283,0
"AGA",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AGAP2",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"AGGF1",2,0,1,0,0.24819457420672,Inf,Inf,0.605207716865645
"AGK",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"AGL",1,3,1,3,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"AGO2",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AGTR1",2,0,1,0,0.24819457420672,Inf,Inf,0.605207716865645
"AGTRAP",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AHCTF1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AHCYL1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AHNAK",29,34,8,8,0.607205216621375,0.853031200558613,-0.229329584213696,0.216664505985854
"AHR",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AHSA2P",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AIF1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AIFM1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AIMP1",2,4,2,4,0.686892181139712,0.502205814176944,-0.993649363697927,0.163111427148394
"AIMP2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AIP",1,4,1,3,0.374190362517327,0.250875782283238,-1.99495488466713,0.426907402189948
"AK2",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AKAP1",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
