"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"UHRF1BP1L",4,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"UHRF2",2,2,2,2,1,1,0,4.82163733276644e-17
"UIMC1",6,9,5,4,1,1.61371647991769,0.690387128214865,0
"ULK3",11,9,4,5,1,0.619687542666112,-0.690387128214864,0
"ULK4",2,3,2,2,1,1,0,4.82163733276644e-17
"UMPS",2,2,2,1,1,2.21433421093488,1.1468729854753,0
"UNC119",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"UNC13D",17,24,7,8,1,0,-Inf,0
"UNC45A",5,4,3,3,1,1,0,4.82163733276644e-17
"UNC50",5,4,3,3,1,1,0,4.82163733276644e-17
"UNC5CL",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"UNG",4,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"UNK",2,2,2,2,1,1,0,4.82163733276644e-17
"UNKL",1,1,1,1,1,1,0,0
"UPF1",1,6,1,5,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"UPF2",5,3,5,3,0.619269619269619,2.59867331003631,1.37777527805224,0.208120225508274
"UPF3A",2,5,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"UPF3B",3,6,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"UPK3BL1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"UPP1",12,10,6,5,1,1.73456920800836,0.794577404221031,4.82163733276644e-17
"UQCC2",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"UQCR11",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"UQCRB",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"UQCRC1",14,13,8,8,1,0,-Inf,0
"UQCRC2",9,13,6,7,1,0.451603012346455,-1.1468729854753,0
"UQCRFS1",7,12,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"UQCRH",1,5,1,5,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"UQCRQ",2,2,2,2,1,1,0,4.82163733276644e-17
"URB1",1,0,1,0,1,Inf,Inf,0
"URB2",1,4,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"URGCP",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"URI1",2,2,2,2,1,1,0,4.82163733276644e-17
"URM1",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"UROD",6,6,5,4,1,1.61371647991769,0.690387128214865,0
"UROS",2,8,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"USB1",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"USE1",1,1,1,1,1,1,0,0
"USF1",2,1,1,1,1,1,0,0
"USF3",3,6,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"USO1",9,7,4,5,1,0.619687542666112,-0.690387128214864,0
"USP1",4,6,4,4,1,1,0,0
"USP10",10,14,4,8,0.076923076923077,0,-Inf,1.11394335230684
"USP11",11,18,6,7,1,0.451603012346455,-1.1468729854753,0
"USP14",4,6,3,4,1,0.619687542666112,-0.690387128214864,0
"USP15",20,18,8,6,0.466666666666667,Inf,Inf,0.330993219041424
"USP16",6,10,3,4,1,0.619687542666112,-0.690387128214864,0
"USP19",5,10,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"USP20",14,20,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"USP21",4,6,3,3,1,1,0,4.82163733276644e-17
"USP22",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"USP24",5,3,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"USP25",2,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"USP28",2,2,2,2,1,1,0,4.82163733276644e-17
"USP3",17,14,8,7,1,Inf,Inf,0
"USP30",3,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"USP32",4,4,4,3,1,1.61371647991769,0.690387128214865,0
"USP33",13,18,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"USP34",11,16,7,7,1,1,0,0
"USP36",7,20,6,8,0.466666666666667,0,-Inf,0.330993219041424
"USP37",1,3,1,1,1,1,0,0
"USP38",5,8,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"USP39",2,2,2,2,1,1,0,4.82163733276644e-17
"USP4",21,17,6,6,1,1,0,4.82163733276644e-17
"USP42",3,6,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"USP47",6,9,5,5,1,1,0,4.82163733276644e-17
"USP48",9,11,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"USP5",7,9,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"USP51",1,0,1,0,1,Inf,Inf,0
"USP53",1,0,1,0,1,Inf,Inf,0
"USP54",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"USP7",2,6,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"USP8",6,3,3,3,1,1,0,4.82163733276644e-17
"USP9X",27,41,8,7,1,Inf,Inf,0
"USP9Y",1,1,1,1,1,1,0,0
"USPL1",9,1,6,1,0.0405594405594406,16.1994227097495,4.01787049635396,1.39190804390212
"UTP11",2,0,1,0,1,Inf,Inf,0
"UTP14A",4,8,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"UTP14C",3,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"UTP18",8,9,6,5,1,1.73456920800836,0.794577404221031,4.82163733276644e-17
"UTP20",3,6,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"UTP3",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"UTP4",3,7,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"UTP6",3,3,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"UTRN",31,47,8,8,1,0,-Inf,0
"UTS2",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"UTY",2,3,1,1,1,1,0,0
"UVRAG",2,2,2,2,1,1,0,4.82163733276644e-17
"UXS1",8,6,3,4,1,0.619687542666112,-0.690387128214864,0
"UXT",14,9,4,5,1,0.619687542666112,-0.690387128214864,0
"VAC14",1,7,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"VAMP1",2,5,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"VAMP2",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"VAMP5",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"VAMP7",2,3,2,2,1,1,0,4.82163733276644e-17
"VAMP8",4,11,3,6,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
