"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ADNP",3,1,2,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"ADNP2",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ADORA2A",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ADPGK",3,0,2,0,0.123525410204266,Inf,Inf,0.908243695227225
"ADPRM",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ADRM1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ADSL",3,2,2,2,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"ADSS",2,3,2,3,1,0.670371393191425,-0.576967508769896,0
"ADTRP",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AEBP2",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AFF1",2,5,2,5,0.452061316994495,0.40126146282924,-1.31738548861956,0.34480265406855
"AFF4",1,2,1,1,1,0.502863467225993,-0.991761348721336,0
"AFG1L",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AFG3L2",3,1,3,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"AFTPH",1,5,1,3,0.217839453206134,0.200447849165676,-2.31870115764144,0.661863461779443
"AGA",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AGAP2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AGAP3",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AGGF1",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"AGO1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AHCTF1",2,2,2,2,1,1.00660973632977,0.00950445733523746,0
"AHCY",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"AHNAK",25,23,7,8,0.771274503418261,1.09725909357814,0.133904226639321,0.112791025188467
"AIFM1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AIM2",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AIMP1",3,0,2,0,0.123525410204266,Inf,Inf,0.908243695227225
"AIMP2",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AIP",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AK1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AK2",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"AK3",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AKAP10",3,1,2,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"AKAP13",8,4,3,2,0.263522738943235,2.02308422143967,1.01655638085722,0.579181904278786
"AKAP7",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AKAP8",1,3,1,2,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"AKAP9",10,10,6,6,1,1.0066804383104,0.00960578539828913,0
"AKIRIN1",3,2,3,2,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"AKNA",6,12,4,4,0.235124392910656,0.499557707495986,-1.0012767511851,0.628702312785074
"AKR1B1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AKT1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AKT2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AKT3",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AKTIP",3,1,2,1,0.372867647299398,3.02597164655246,1.59739846952101,0.428445297542138
"ALAS1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ALCAM",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALDH18A1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ALDH5A1",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ALDOA",5,10,4,6,0.299376515983413,0.500222372298712,-0.999358511813464,0.523782270054509
"ALG1",4,0,4,0,0.0614372099500796,Inf,Inf,1.2115685151575
"ALG12",2,5,2,3,0.452061316994495,0.40126146282924,-1.31738548861956,0.34480265406855
"ALG13",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ALG5",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ALG6",3,2,2,2,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"ALG8",1,3,1,2,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"ALG9",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALKBH6",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ALKBH7",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ALKBH8",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALMS1",1,4,1,3,0.374190362517327,0.250875782283238,-1.99495488466713,0.426907402189948
"ALOX5",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALOX5AP",4,2,4,2,0.450818825649812,2.01765860391765,1.01268208519664,0.345997956634091
"AMBRA1",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AMD1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AMIGO2",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AMMECR1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AMPD2",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AMT",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AMZ2",4,1,3,1,0.216600222965284,4.03892092910595,2.01396990234123,0.664341100653714
"ANAPC11",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ANAPC16",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ANAPC5",14,8,4,5,0.205401342570108,1.77520664991783,0.827986976988207,0.687396722039208
"ANAPC7",5,1,4,1,0.123160627939643,5.05507106684412,2.33773137443549,0.909528105494506
"ANK1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ANKDD1A",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ANKFY1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ANKHD1;ANKHD1-EIF4EBP3",5,4,4,2,0.752452043216707,1.25976653668211,0.333156394376876,0.123521174179362
"ANKIB1",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ANKLE2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ANKMY1",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ANKRD10",4,7,3,4,0.547362708650654,0.573152516536061,-0.803009002027573,0.261724794026592
"ANKRD11",1,3,1,3,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"ANKRD12",14,15,7,6,1,0.938364818966487,-0.0917791698138119,0
"ANKRD17",4,3,4,3,0.725126469251364,1.34367907158262,0.426188601565915,0.139586241555909
"ANKRD26",2,3,2,3,1,0.670371393191425,-0.576967508769896,0
"ANKRD27",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
