"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000249986","YWHAQP6",6,11,3,5,0.627056288195662,0.731329794186781,-0.451405956641218,0.202693472637309
"ENSG00000249987","RPS4XP20",25,29,5,8,0.57770469404257,1.16731046345125,0.223188318125693,0.2382941036573
"ENSG00000250011","HMGB1P3",15,19,5,8,0.862363670840234,1.06401027920579,0.0895120885153965,0.0643095474796322
"ENSG00000250015","CTC",1,5,1,4,0.248077357757435,0.268063035001437,-1.89935580468626,0.605412872365203
"ENSG00000250021","C15orf38",12,18,5,7,0.85303901268957,0.894999217003059,-0.160041674662757,0.0690311064545578
"ENSG00000250027","RP11",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250030","RP11",2,6,2,5,0.478562875074489,0.446856655516944,-1.1621159828093,0.320060995182795
"ENSG00000250031","RP11",2,4,2,3,1,0.671875237176059,-0.573734736017658,0
"ENSG00000250053","RARRES2P4",7,7,4,5,0.596934465821501,1.34967482685872,0.432611864915855,0.224073345075551
"ENSG00000250067","YJEFN3",9,16,4,6,0.546456015835339,0.753181443896419,-0.40893063812214,0.262444788606767
"ENSG00000250069","CTB",4,4,2,3,0.729664769249684,1.34781200874662,0.430619285123319,0.136876622487679
"ENSG00000250071","CTD",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250073","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250075","RP11",2,7,1,4,0.315511932872615,0.38254861297264,-1.38628500266851,0.500984210801058
"ENSG00000250090","RP13",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000250091","DNAH10OS",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250111","AC107982",11,33,6,6,0.019245759077452,0.437904309497836,-1.19131244719645,1.71566495509953
"ENSG00000250116","RP11",2,2,2,1,1,1.34658111789768,0.429301140247126,0
"ENSG00000250127","CTD",3,4,2,3,1,1.00930279396515,0.013359052361807,0
"ENSG00000250130","RP11",1,3,1,2,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250132","RP11",3,4,2,3,1,1.00930279396515,0.013359052361807,0
"ENSG00000250135","RP4",2,3,2,2,1,0.896800059019217,-0.157141721798964,0
"ENSG00000250138","RP11",7,10,4,7,1,0.941281961289646,-0.0873011474680315,0
"ENSG00000250144","RP11",28,44,5,7,0.541987112918226,0.848982042141521,-0.236194056995237,0.266011039762426
"ENSG00000250145","CTD",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250151","ARPC4",24,68,6,8,0.000954502870085454,0.452000181783685,-1.14560474202927,3.02022276139247
"ENSG00000250155","CTD",2,2,2,2,1,1.34658111789768,0.429301140247126,0
"ENSG00000250159","RP11",4,15,2,6,0.0630708172701781,0.354541545122254,-1.49597340273989,1.20017154139246
"ENSG00000250170","RASA2",1,8,1,6,0.0871131822225595,0.166903965608284,-2.58290986160424,1.05991612130306
"ENSG00000250182","EEF1A1P13",235,435,6,8,2.05731098650343e-08,0.533970716935434,-0.905167468499655,7.68670005467672
"ENSG00000250186","RP11",22,47,6,8,0.0794581969067287,0.61516853179387,-0.700946389029229,1.09986129433154
"ENSG00000250198","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250202","RP11",2,1,2,1,0.578682861420733,2.69535536439055,1.43047549510973,0.237559379742247
"ENSG00000250208","FZD10",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250220","RP11",1,3,1,3,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250231","USP17L16P",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250232","AF196779",4,2,3,2,0.41104177505157,2.70137483780521,1.43369383944791,0.386114037607124
"ENSG00000250251","PKD1P6",17,36,6,8,0.120777416127075,0.624404631693995,-0.679446855942498,0.91801426578381
"ENSG00000250261","AC007050",21,21,5,7,0.344596299430579,1.35863859049261,0.442161737895718,0.462689390688074
"ENSG00000250264","TAP2",25,58,6,8,0.0213869515904169,0.560895520565441,-0.834196033500451,1.66985111359623
"ENSG00000250267","RP11",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250273","PSMC1P5",6,11,4,5,0.627056288195662,0.731329794186781,-0.451405956641218,0.202693472637309
"ENSG00000250286","RP11",2,0,2,0,0.181561126292028,Inf,Inf,0.74097713182864
"ENSG00000250295","RP11",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000250299","MRPS31P4",6,12,3,8,0.480035023622552,0.66953551390508,-0.578767513010848,0.318727075101264
"ENSG00000250303","RP11",7,11,3,6,0.814409369450876,0.854656117500304,-0.226584046085785,0.0891572385959617
"ENSG00000250312","ZNF718",20,26,4,8,1,1.03641385303798,0.0516002042813891,0
"ENSG00000250317","SMIM20",14,28,5,7,0.267299693628867,0.664754525859969,-0.589106400444876,0.57300153901888
"ENSG00000250318","CTA",4,9,3,4,0.574783586263391,0.595445653362416,-0.747958256323554,0.240495642237562
"ENSG00000250321","RP11",1,3,1,3,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250322","CTB",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000250325","IGBP1P4",1,3,1,3,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250326","RP11",2,6,2,6,0.478562875074489,0.446856655516944,-1.1621159828093,0.320060995182795
"ENSG00000250329","KDELC1P1",3,1,3,1,0.318442006417866,4.04913966093301,2.0176154046001,0.496969648370982
"ENSG00000250338","RP11",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250346","EEF1GP2",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000250365","CTD",1,6,1,5,0.249551118174582,0.223106707337076,-2.16419420839415,0.602840479831268
"ENSG00000250379","RP11",6,1,4,1,0.046567083327962,8.1383023991663,3.02472788838313,1.33192096271661
"ENSG00000250391","CTD",1,1,1,1,1,1.34596893389605,0.428645111708016,0
